username,name,category,buy_price,random_multipliers,sell_price,pic
Exual1964,"IRONCK Rustic Entryway Console Table, Long Hallway Table 47in 3-Tier, TV Stand Entertainment Center Media Stand for Living Room, Industrial Style, Vintage Brown ",furniture,134,0.6652,89.1368,https://m.media-amazon.com/images/I/61vGqZ1RVbS._AC_UY218_.jpg
Hopentionet55,"Kate and Laurel Lillian Half Moon Wood Console Table with Curved Legs and Shelf, White ",furniture,25,0.2438,6.095,https://m.media-amazon.com/images/I/71FywL5D4+L._AC_UY218_.jpg
Notints,"ACME Furniture Coffee Table, Mirrored and Faux Diamonds ",furniture,209.9,0.1178,24.72622,https://m.media-amazon.com/images/I/71+hpS4PY3L._AC_UY218_.jpg
Foelonemse69,"Signature Design by Ashley Realyn French Country Dining Extension Table, Seats up to 8, Chipped White ",furniture,454.9,0.4283,194.83367,https://m.media-amazon.com/images/I/81N4XZjeBvL._AC_UY218_.jpg
Scon1995,"Meridian Furniture Haven Collection Modern Contemporary Mirrored Coffee Table Featuring a Bold Geometric Design, 39.5"" W x 39.5"" D x 18.5"" H ",furniture,4.48,0.6816,3.053568,https://m.media-amazon.com/images/I/71BaItVIV2L._AC_UY218_.jpg
Ligagmer,Bush Furniture Somerset 72W 3 Position Sit to Stand L Shaped Desk with Hutch in Ash Gray ,furniture,179.5,0.9882,177.3819,https://m.media-amazon.com/images/I/612hZ6vLaoL._AC_UY218_.jpg
Mact2003,ACME FURNITURE Fabiola Dining Table - - Stainless Steel & Black Glass ,furniture,135,0.4936,66.636,https://m.media-amazon.com/images/I/71Ptb2ttfaS._AC_UY218_.jpg
Anscialtat,"Wooden Rustic Coffee Table, Natural Walnut Coated Coffee Table, Custom Designed Coffee Table, Wood Living Room Furniture, Disassembled Modular Furniture, Cloud Model ",furniture,132.9,0.5365,71.30085,https://m.media-amazon.com/images/I/51-jJuScwYL._AC_UY218_.jpg
Ineaskuld83,EAST WEST FURNITURE 7Pc Oval 42/60 inch Family Table With 18 In Leaf And 6 Wood Seat Dining Chairs ,furniture,25,0.2951,7.3775,https://m.media-amazon.com/images/I/51e+QcPhltL._AC_UY218_.jpg
Andeverien37,East West Furniture Dinette set 6 Fantastic wood dining chairs - A Stunning dinner table- Oak Color Wooden Seat Oak Butterfly Leaf round dining table ,furniture,259.9,0.2924,75.99476,https://m.media-amazon.com/images/I/51NIusPy2+L._AC_UY218_.jpg
Andeverien37,"AZL1 Life Concept Life Concept Console Table with Shelf for Living Bed Room Coffee Office, Weathered Gray, Dark Oak 1 ",furniture,293.9,0.2163,63.57057,https://m.media-amazon.com/images/I/71qkwkT8QaL._AC_UY218_.jpg
Seepince,"AZL1 Life Concept Modern Coffee Table, 1pc, Dark Oak ",furniture,229.9,0.5977,137.41123,https://m.media-amazon.com/images/I/81v-fUYu6zS._AC_UY218_.jpg
Drigatured,"Amazon Brand _ Rivet Modern Industrial Coffee Table with Metal Base and Trays, 42.1""W, Walnut Finish ",furniture,399.9,0.0448,17.91552,https://m.media-amazon.com/images/I/7199N-Uz2AL._AC_UY218_.jpg
Pursho2003,"Amazon Brand _ Ravenna Home Classic Console Table with Storage Drawers, 44""W, Blue ",furniture,217,0.326,70.742,https://m.media-amazon.com/images/I/612yrAXpo-L._AC_UY218_.jpg
Milhe1957,Bush Business Furniture 120W x 48D Boat Shaped Conference Table with Wood Base in Hansen Cherry ,furniture,25,0.7925,19.8125,https://m.media-amazon.com/images/I/51BVRWyVtuS._AC_UY218_.jpg
Tractinglery1988,OFUCHEN Kids Functional Desk Height Adjustable Children School Study Desk with Tilt Desktop ,furniture,209.9,0.6391,134.14709,https://m.media-amazon.com/images/I/71BaItVIV2L._AC_UY218_.jpg
Beirinked,JETIME Outdoor Rattan Furniture 7pcs Patio Conversation Set Gray Wicker Garden Sofa Set Spring Party Sectional Couch with Navy Cushion ,furniture,249.9,0.6463,161.51037,https://m.media-amazon.com/images/I/61vGqZ1RVbS._AC_UY218_.jpg
Boble1938,9 Person Conference Tables Meeting Tables Seminar Tables Compact Space Maximum Collaboration Model 4471 4 pc Group Color Java Commercial Grade Ready to Unfold and Use (Chairs NOT Included). ,furniture,1004.4,0.1732,173.96208,https://m.media-amazon.com/images/I/71+hpS4PY3L._AC_UY218_.jpg
Notilen,Home Square 4 Piece Farmhouse Barn Door TV Stand Console Coffee Table and 2 End Table Living Room Set in Rustic White Oak ,furniture,32.9,0.9786,32.19594,https://m.media-amazon.com/images/I/71fIdp6qfrL._AC_UY218_.jpg
Ourty1956,Traditional Delegato II Natural Cherry Classic Wooden Console Table - Handcrafted Wood - Victorian Style - Decorative Regal Furniture - Half Circle Moon Shape - Elegant Display - 31 Inches High ,furniture,69.99,0.5518,38.620482,https://m.media-amazon.com/images/I/61X5PYoBN9L._AC_UY218_.jpg
Willocip,"Signature Design by Ashley Realyn French Country Counter Height Dining Room Table, Chipped White ",furniture,475.6,0.5068,241.03408,https://m.media-amazon.com/images/I/713Qi2wzAML._AC_UY218_.jpg
Sailve90,"Global Furniture USA Global Furniture Faux Marble Pedestal Base Dining Table, BR ",furniture,621.9,0.3191,198.44829,https://m.media-amazon.com/images/I/612hZ6vLaoL._AC_UY218_.jpg
Whisconce,PHI VILLA 3 Piece Patio Furniture Set Outdoor Rattan Rocker Conversation Set with 1 Table and 2 Rocking & Swivel Chairs Support 350lbs ,furniture,349.9,0.4674,163.54326,https://m.media-amazon.com/images/I/51-jJuScwYL._AC_UY218_.jpg
Sans1982,"SEI Furniture Ava Mirrored Coffee Table, Cocktail, Chrome ",furniture,10,0.3479,3.479,https://m.media-amazon.com/images/I/61U6oC65TTL._AC_UY218_.jpg
Mact2003,"Signature Design by Ashley - Havalance Farmhouse Cocktail Table, Whitewash/Brown Wood ",furniture,249.99,0.6132,153.293868,https://m.media-amazon.com/images/I/71Ptb2ttfaS._AC_UY218_.jpg
Upostionots,"Global Furniture USA Dining Table, Grey-White ",furniture,987.1,0.4481,442.31951,https://m.media-amazon.com/images/I/61aWtezBYlL._AC_UY218_.jpg
Poned1946,"Signature Design by Ashley Aldwin Farmhouse Square Coffee Table with Lift Top for Storage, Light Brown ",furniture,411.7,0.9815,404.08355,https://m.media-amazon.com/images/I/612yrAXpo-L._AC_UY218_.jpg
Andeverien37,"Liberty Furniture Industries Dockside II End Table, W23 x D25 x H24, White ",furniture,55,0.9557,52.5635,https://m.media-amazon.com/images/I/91cMHXMo3OL._AC_UY218_.jpg
Exhaf1979,"SIMPLIHOME Harper SOLID WOOD Mid Century Modern 60 inch Wide Home Office Desk, Writing Table, Workstation, Study Table Furniture in Light Golden Brown with 2 Drawers ",furniture,677.7,0.7849,531.92673,https://m.media-amazon.com/images/I/61778QY0boL._AC_UY218_.jpg
Opurnerly,"SEI Furniture Simondley Cocktail Table, Champagne w/Pale Gold Faux Marble ",furniture,627.4,0.9708,609.07992,https://m.media-amazon.com/images/I/61UWXlakiES._AC_UY218_.jpg
Replignigh1967,BEST BOARD 24x48 Inches Writing Computer Desk Modern Simple Study Desk Industrial Style Laptop Table for Home Office Brown Notebook Desk _ ,furniture,146.1,0.1921,28.06581,https://m.media-amazon.com/images/I/61aWtezBYlL._AC_UY218_.jpg
Theim1959,Beauty Salon Reception Desk All Purpose Reception Desk Reception Counter with Illumination Lights - Orsacchiotto -White ,furniture,89,0.9533,84.8437,https://m.media-amazon.com/images/I/51biqZP8+2L._AC_UY218_.jpg
Garlercurch,"LEEMTORIG Farmhouse Coffee Tables for Living Room, Rustic Solid Wood Coffee Table with Storage Shelf, Glass Top Cocktail Table Center Table, 45.5""x26""x19"", Easy to Assemble, Antique Grey KFZ-1318-AN ",furniture,524.6,0.7264,381.06944,https://m.media-amazon.com/images/I/81j95Jv48vL._AC_UY218_.jpg
Hopentionet55,Bush Furniture Somerset 72W 3 Position Sit to Stand L Shaped Desk in White ,furniture,79.99,0.282,22.55718,https://m.media-amazon.com/images/I/61ACu5xcNpL._AC_UY218_.jpg
Oron1999,"Crosley Furniture Shelby Dining Set with Table and Extension Leaf, 5-Piece (4 Chairs), Distressed White ",furniture,79.99,0.6992,55.929008,https://m.media-amazon.com/images/I/616sdK81NnL._AC_UY218_.jpg
Bargeres,"Signature Design by Ashley Radilyn Faux Marble 3-Piece Table Set, Includes Coffee Table and 2 End Tables, Gray & Brown ",furniture,73,0.6461,47.1653,https://m.media-amazon.com/images/I/71EZ6W1itcL._AC_UY218_.jpg
Courpastruce,"ACME FURNITURE Morland Dining Table, Vintage Black ",furniture,69.99,0.051,3.56949,https://m.media-amazon.com/images/I/81O2fXSlHCL._AC_UY218_.jpg
Busequithe,"Roundhill Furniture Windvale Cross-Buck Wood 5-Piece Dining Set, Black ",furniture,55,0.1537,8.4535,https://m.media-amazon.com/images/I/612yrAXpo-L._AC_UY218_.jpg
Courpastruce,"Liberty Furniture Industries Horizons 6 Piece Rectangular Table Set, Brown ",furniture,59,0.0448,2.6432,https://m.media-amazon.com/images/I/61ZZjPX+ogL._AC_UY218_.jpg
Ourty1956,"New Classic Furniture Gia 5-Piece Round Set with 1 Dining Table and 4 Chairs, 47-Inch, Gray ",furniture,500.3,0.0186,9.30558,https://m.media-amazon.com/images/I/71QZcCFQcAL._AC_UY218_.jpg
Toply1953,Coaster Home Furnishings Rectangular Silver Console Table ,furniture,533.3,0.2549,135.93817,https://m.media-amazon.com/images/I/61o6BoolS8L._AC_UY218_.jpg
Befull1953,Liberty Furniture Springfield Pedestal Table ,furniture,1174.3,0.1737,203.97591,https://m.media-amazon.com/images/I/61dldTSpV-L._AC_UY218_.jpg
Cuble1948,"Global Furniture USA Dining Table, Marble ",furniture,312.9,0.3083,96.46707,https://m.media-amazon.com/images/I/71DA4KTzV2L._AC_UY218_.jpg
Seepince,"ACME Furniture Coffee Table, Mirrored and Gold ",furniture,171.2,0.7918,135.55616,https://m.media-amazon.com/images/I/71tEZ4+wzdL._AC_UY218_.jpg
Sulighte,GW FURNITURE Modern Space Grey Reception Desk (71 inch) with Quartz Stone Counter TOP ,furniture,182,0.3208,58.3856,https://m.media-amazon.com/images/I/51evg1OdjaS._AC_UY218_.jpg
Eveng1987,"Roundhill Furniture Aneta Urban Style Dark Washed Wood Dining Set: Table, 4 Chairs and Bench, Gray ",furniture,613.3,0.6621,406.06593,https://m.media-amazon.com/images/I/61VG2XMBenL._AC_UY218_.jpg
Notilen,"Harmati_Lift_Top_Coffee_Table_with_Storage_-_Lift_up_Center_Table_for Living_Room_Home,_Mid_Century_Modern_Pop_up_Rising_Adjustable Furniture Table,_Walnut_&_Marble Effect ",furniture,69.99,0.5836,40.846164,https://m.media-amazon.com/images/I/81E90WIki0L._AC_UY218_.jpg
Foelonemse69,"Signature Design by Ashley Realyn French Country 60"" Home Office Lift Top Desk with USB Charging, Chipped White ",furniture,593.3,0.8304,492.67632,https://m.media-amazon.com/images/I/71BaItVIV2L._AC_UY218_.jpg
Anscialtat,"Solid Wood Console Table Sofa Table, Modern Entryway Hall Table W/with 7 Drawers, 1 Cabinet and 1 Shelf, Entryway Side Table for Living Room, Bedrooms and Hallway, Easy to Assemble (Green) ",furniture,497.9,0.2141,106.60039,https://m.media-amazon.com/images/I/61aWtezBYlL._AC_UY218_.jpg
Quisging,"Signature Design by Ashley Marcilyn Lift Top Cocktail Table, Brown ",furniture,923.7,0.9126,842.96862,https://m.media-amazon.com/images/I/51ME-ADMjRL._AC_UY218_.jpg
Willocip,"FirsTime & Co. Factory Cart Coffee Accent Table, 45"" x 17"" x 29.5"", Rustic Espresso/Antique Black,70084 ",furniture,702.1,0.7116,499.61436,https://m.media-amazon.com/images/I/81t8kQP6OQL._AC_UY218_.jpg
Wasuffeen41,Patio Set Assembly ,furniture,73,0.1543,11.2639,https://m.media-amazon.com/images/I/61A3UNuWO9L._AC_UY218_.jpg
Aboomed,"IKIFLY Modern High Glossy White Coffee Table with 16 Colors LED Lights, Contemporary Rectangle Design Living Room Furniture, 2 Tiers ",furniture,280,0.6307,176.596,https://m.media-amazon.com/images/I/713YZbeVPvL._AC_UY218_.jpg
Theim1959,"SDYEI 5 Piece Outdoor Table and Chairs, Indoor Outdoor Space Saving Wicker Patio Furniture Sets with Beige Cushion ",furniture,2501.7,0.9796,2450.66532,https://m.media-amazon.com/images/I/81T+jOE+9OL._AC_UY218_.jpg
Gothys,"Meridian Furniture Damon Collection Modern | Contemporary Round Coffee Elegant White Table Top, 30"" W x 30"" D x 15"" H, Brushed Brass Metal Base ",furniture,20,0.4627,9.254,https://m.media-amazon.com/images/I/71qkwkT8QaL._AC_UY218_.jpg
Sailve90,Zuri Naxos Glass Mirrored Console Table ,furniture,522.6,0.6207,324.37782,https://m.media-amazon.com/images/I/81fj9S4M31L._AC_UY218_.jpg
Wasuffeen41,"Liberty Furniture INDUSTRIES Sedona Cocktail Table, W50 x D30 x H19, Distressed White Finish ",furniture,69.99,0.6814,47.691186,https://m.media-amazon.com/images/I/71xfN-osPfL._AC_UY218_.jpg
Efolotervis58,"FLEXISPOT Gaming Desk Adjustable Gaming Computer Desk Gaming Table with Cup Holder, Headphone Hook and Cord Management Black 63_ ",furniture,905.2,0.0658,59.56216,https://m.media-amazon.com/images/I/71EZ6W1itcL._AC_UY218_.jpg
Neques1986,"Patiorama 5 Piece Patio Furniture Set with Gas Fire Pit Table, Brown Wicker Outdoor Sectional Sofa Set with 28-inch 40,000 BTU Square Propane Firepit CSA Certification, Lava Rocks (Beige Cushion) ",furniture,588.6,0.0013,0.76518,https://m.media-amazon.com/images/I/81O2fXSlHCL._AC_UY218_.jpg
Thavends50,Restore by Pipe D_COR Wood Dining Table 60 in. x 36 in. x 29.5 in. Reclaimed Ponderosa Pine Wood in Sunset Cedar Stain with Industrial Pipe Legs ,furniture,20,0.4105,8.21,https://m.media-amazon.com/images/I/81O2fXSlHCL._AC_UY218_.jpg
Garlercurch,"Kate and Laurel Lillian Half Moon Wood Console Table with Curved Legs and Shelf, White ",furniture,522.6,0.0578,30.20628,https://m.media-amazon.com/images/I/61ZZjPX+ogL._AC_UY218_.jpg
Thaverse,Restore by Pipe D_COR Wood Dining Table Top 60 in. x 36 in. x 1.25 in. Reclaimed Ponderosa Pine Wood in Riverstone Grey ,furniture,69.99,0.4504,31.523496,https://m.media-amazon.com/images/I/81s-TFaV1OL._AC_UY218_.jpg
Emid1936,OFUCHEN Kids Functional Desk Height Adjustable Children School Study Desk with Tilt Desktop ,furniture,905.2,0.6515,589.7378,https://m.media-amazon.com/images/I/814f1pVQnUL._AC_UY218_.jpg
Groply,9 Person Conference Tables Meeting Tables Seminar Tables Compact Space Maximum Collaboration Model 4471 4 pc Group Color Java Commercial Grade Ready to Unfold and Use (Chairs NOT Included). ,furniture,588.6,0.8809,518.49774,https://m.media-amazon.com/images/I/61IS10o5QuS._AC_UY218_.jpg
Hopentionet55,BEST BOARD 24x48 Inches Writing Computer Desk Modern Simple Study Desk Industrial Style Laptop Table for Home Office Brown Notebook Desk _ ,furniture,501.8,0.0959,48.12262,https://m.media-amazon.com/images/I/81T-FKC695L._AC_UY218_.jpg
Fortand,Beauty Salon Reception Desk All Purpose Reception Desk Reception Counter with Illumination Lights - Orsacchiotto -White ,furniture,688.2,0.4012,276.10584,https://m.media-amazon.com/images/I/619gwHBmFiL._AC_UY218_.jpg
Hatmarat,"Solid Wood Console Table Sofa Table with 3 Drawers, 2 Cabinet and 1 Shelf, Free Standing Kitchen Storage Sideboard Buffet Table, Retro Narrow Accent Table Furniture for Living Room/Entryway(Black-1) ",furniture,199,0.4756,94.6444,https://m.media-amazon.com/images/I/614DXMz2gkL._AC_UY218_.jpg
Theim1959,"Bush Business Furniture Studio C L Shaped Desk with Return, 72W x 30D, Black Walnut ",furniture,55,0.0517,2.8435,https://m.media-amazon.com/images/I/7150tUunFnL._AC_UY218_.jpg
Sherp1995,"Signature Design by Ashley Realyn Farmhouse 60"" Home Office Desk with USB Charging, Chipped White ",furniture,69.99,0.3814,26.694186,https://m.media-amazon.com/images/I/61pwpYcjYlL._AC_UY218_.jpg
Aboomed,"Flash Furniture HERCULES Series 9' x 40"" Rectangular Antique Rustic Solid Pine Folding Farm Table ",furniture,317.4,0.5633,178.79142,https://m.media-amazon.com/images/I/71BaItVIV2L._AC_UY218_.jpg
Offervers97,"Meridian Furniture Mercury Collection Modern | Contemporary Tempered Glass Top Dining Table with Acrylic and Gold Durable Metal Base, Rectangular ",furniture,1039.2,0.5558,577.58736,https://m.media-amazon.com/images/I/612yrAXpo-L._AC_UY218_.jpg
Sers1952,Stonecroft Furniture Contemporary Living Room Rectangular Coffee Table in Chrome and Black ,furniture,1099,0.0434,47.6966,https://m.media-amazon.com/images/I/71gxbnt6fwL._AC_UY218_.jpg
Anscialtat,"ACME FURNITURE Gorsedd End Table, Marble and Antique White ",furniture,10,0.1509,1.509,https://m.media-amazon.com/images/I/61IRwSgk0PL._AC_UY218_.jpg
Courpastruce,"Powell Furniture Franklin Pub Table, Multicolor 36"" x 36"" x 40"" ",furniture,153.6,0.7708,118.39488,https://m.media-amazon.com/images/I/61o7HWxnWfL._AC_UY218_.jpg
Sers1952,"Signature Design by Ashley Bolanburg Farmhouse Square Two Tone End Table, Antique White ",furniture,6,0.6796,4.0776,https://m.media-amazon.com/images/I/71GxvcshGkL._AC_UY218_.jpg
Upossuck,"TOV Furniture Waterfall Round Marble Top Cocktail Table, 30"", Gold ",furniture,73,0.94,68.62,https://m.media-amazon.com/images/I/71TZFwidTES._AC_UY218_.jpg
Extriveromen1946,"Meridian Furniture Casper Collection Modern | Contemporary Glass Top Coffee Table with Sturdy Stainless Steel and Acrylic Base, 47"" W x 29"" D x 16.5"" H, Gold ",furniture,25,0.9398,23.495,https://m.media-amazon.com/images/I/71qp8PhkZXL._AC_UY218_.jpg
Exhaf1979,"Signature Design by Ashley Shawnalore Rectangular Rustic Cocktail Table, Whitewash ",furniture,7.5,0.7502,5.6265,https://m.media-amazon.com/images/I/71cy10--XmL._AC_UY218_.jpg
Hics1952,JETIME Outdoor Rattan Furniture 7pcs Patio Conversation Set Gray Wicker Garden Sofa Set Spring Party Sectional Couch with Navy Cushion ,furniture,1296.2,0.5652,732.61224,https://m.media-amazon.com/images/I/71LLnF3dPnL._AC_UY218_.jpg
Therseld,"Patiorama 5 Piece Patio Furniture Set with Gas Fire Pit Table, Brown Wicker Outdoor Sectional Sofa Set with 28-inch 40,000 BTU Square Propane Firepit CSA Certification, Lava Rocks (Beige Cushion) ",furniture,606,0.624,378.144,https://m.media-amazon.com/images/I/71EZ6W1itcL._AC_UY218_.jpg
Facoure99,"LEEMTORIG Farmhouse Coffee Tables for Living Room, Rustic Solid Wood Coffee Table with Storage Shelf, Glass Top Cocktail Table Center Table, 45.5""x26""x19"", Easy to Assemble, Antique Grey KFZ-1318-AN ",furniture,682.8,0.5385,367.6878,https://m.media-amazon.com/images/I/61aWtezBYlL._AC_UY218_.jpg
Meren1977,ACME Gorsedd Coffee Table w/Marble Top - - Marble & Antique White ,furniture,50,0.622,31.1,https://m.media-amazon.com/images/I/61aWtezBYlL._AC_UY218_.jpg
Phoonew,"Acme Furniture Zander Coffee Table, White Printed Faux Marble & Mirrored Silver Finish ",furniture,73,0.1849,13.4977,https://m.media-amazon.com/images/I/61ZZjPX+ogL._AC_UY218_.jpg
Dialin,BOWERY HILL Round Glass Top Coffee Table End Table in Black and Gold ,furniture,492.9,0.7864,387.61656,https://m.media-amazon.com/images/I/51nOPwzZd8L._AC_UY218_.jpg
Facoure99,"New Classic Furniture Amy 5-Piece Counter Dining Table Set, Cherry ",furniture,149,0.8381,124.8769,https://m.media-amazon.com/images/I/41MQqNufNXL._AC_UY218_.jpg
Sainigh,"Roundhill Furniture Athens, Coffee Table Set, Grey ",furniture,69,0.5846,40.3374,https://m.media-amazon.com/images/I/61MZ4pNd1ZL._AC_UY218_.jpg
Hopentionet55,"Signature Design by Ashley - Coralayne Glam Coffee Table, Silver ",furniture,277.1,0.144,39.9024,https://m.media-amazon.com/images/I/71YsZI6-nyL._AC_UY218_.jpg
Deave1992,"Signature Design by Ashley Realyn French Country Oval Dining Room Extension Table, Chipped White ",furniture,303.3,0.1167,35.39511,https://m.media-amazon.com/images/I/51QKNeJmBmL._AC_UY218_.jpg
Deave1992,East West Furniture dining room table set 4 Great kitchen chairs - A Wonderful wood kitchen table- Saddle Brown Color Wooden Seat Saddle Brown Butterfly Leaf modern dining table ,furniture,622.6,0.2192,136.47392,https://m.media-amazon.com/images/I/71Eh6YWqqyL._AC_UY218_.jpg
Busequithe,East West Furniture dining room table set 4 Wonderful wooden dining chairs - A Attractive modern dining table- Oak Color Wooden Seat Oak Butterfly Leaf modern dining table ,furniture,111.5,0.7327,81.69605,https://m.media-amazon.com/images/I/81suaO+v0mL._AC_UY218_.jpg
Agnight,Table Assembly ,furniture,69.99,0.2434,17.035566,https://m.media-amazon.com/images/I/71abEaGDtcL._AC_UY218_.jpg
Infle1979,Furniture of America Velma Modern 3-Piece Accent Table Set - Silver ,furniture,485.8,0.7234,351.42772,https://m.media-amazon.com/images/I/71BaItVIV2L._AC_UY218_.jpg
Propeas,"Acrylic Coffee Table Lucite 44"" x 16"" x 16"" high x 3/4"" Thick ",furniture,199,0.7243,144.1357,https://m.media-amazon.com/images/I/612yrAXpo-L._AC_UY218_.jpg
Facoure99,"FLEXISPOT Gaming Desk Adjustable Gaming Computer Desk Gaming Table with Cup Holder, Headphone Hook and Cord Management Black 63_ ",furniture,10,0.2174,2.174,https://m.media-amazon.com/images/I/81AT+Flc+EL._AC_UY218_.jpg
Quisging,"Kate and Laurel Lillian Half Moon Wood Console Table with Curved Legs and Shelf, White ",furniture,129,0.1676,21.6204,https://m.media-amazon.com/images/I/41BwdzVEO0L._AC_UY218_.jpg
Sainigh,"BDI Furniture Dino Large Coffee Table, Gloss White ",furniture,527,0.7261,382.6547,https://m.media-amazon.com/images/I/71aFMbI+BPS._AC_UY218_.jpg
Deping,"Signature Design by Ashley North Shore Traditional Faux Marble 3-Piece Table Set, Includes Coffee Table and 2 End Tables, Dark Brown ",furniture,99.99,0.5661,56.604339,https://m.media-amazon.com/images/I/71YCwslrhgS._AC_UY218_.jpg
Becouly,"SEI Furniture Darien Contemporary Mirrored Rectangular Coffee Table, Rectangle, Silver ",furniture,547.7,0.7601,416.30677,https://m.media-amazon.com/images/I/81jiDuurcEL._AC_UY218_.jpg
Aboomed,"Signature Design by Ashley Bolanburg Farmhouse Lift Top Coffee Table with Drawers, Antique White & Brown ",furniture,773.3,0.8358,646.32414,https://m.media-amazon.com/images/I/71CUBegw88L._AC_UY218_.jpg
Banstal,Kings Brand Furniture - 7-Piece Wilson Wood Kitchen Dining Room Table with Storage & 6 Chairs ,furniture,55,0.6873,37.8015,https://m.media-amazon.com/images/I/71jVURe1XgL._AC_UY218_.jpg
Propeas,"Roundhill Furniture Prato 7-Piece Dining Table Set with Cross Back Chairs, Blue ",furniture,227.2,0.8796,199.84512,https://m.media-amazon.com/images/I/61oyW1b3j2L._AC_UY218_.jpg
Feweake,"Bush Business Furniture Move 60 Series Height Adjustable Standing Desk, 72W x 30D, Storm Gray with Black Base ",furniture,454.8,0.2127,96.73596,https://m.media-amazon.com/images/I/61ACu5xcNpL._AC_UY218_.jpg
Freples55,"Foosball Coffee Game Wood 42"" Table Tempered Glass Top Tabletop Furniture Family Dark Brown ",furniture,175.3,0.3067,53.76451,https://m.media-amazon.com/images/I/81O2fXSlHCL._AC_UY218_.jpg
Coond1966,"East West Furniture AVNA5-SBR-C Dining Set, 5-Pieces ",furniture,1295,0.7827,1013.5965,https://m.media-amazon.com/images/I/61FtbQIrQGL._AC_UL320_.jpg
Begazy,"Roundhill Furniture Aneta Antique Black Finished Wood Dining Set, Table with Six Chairs, Tan ",furniture,346.8,0.373,129.3564,https://m.media-amazon.com/images/I/91pr1GPWsHL._AC_UL320_.jpg
